Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20161002T102715_20161002T102742_013310_01536C_FE85,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161002T102715_20161002T102742_013310_01536C_FE85.zip,S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B.zip,52,24
S1A_IW_SLC__1SDV_20161002T102715_20161002T102742_013310_01536C_FE85,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161002T102715_20161002T102742_013310_01536C_FE85.zip,S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0.zip,83,36
S1A_IW_SLC__1SDV_20161014T102715_20161014T102742_013485_0158F4_D16D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161014T102715_20161014T102742_013485_0158F4_D16D.zip,S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B.zip,53,12
S1A_IW_SLC__1SDV_20161014T102715_20161014T102742_013485_0158F4_D16D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161014T102715_20161014T102742_013485_0158F4_D16D.zip,S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0.zip,84,24
S1A_IW_SLC__1SDV_20161014T102715_20161014T102742_013485_0158F4_D16D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161014T102715_20161014T102742_013485_0158F4_D16D.zip,S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8.zip,86,36
S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B.zip,S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0.zip,31,12
S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B.zip,S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8.zip,33,24
S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161026T102715_20161026T102742_013660_015E64_934B.zip,S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F.zip,69,36
S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0.zip,S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8.zip,2,12
S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0.zip,S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F.zip,100,24
S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161107T102715_20161107T102742_013835_0163DB_DAB0.zip,S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894.zip,128,36
S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8.zip,S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F.zip,102,12
S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8.zip,S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894.zip,130,24
S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161119T102715_20161119T102742_014010_016946_E1F8.zip,S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A.zip,85,36
S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F.zip,S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161213T102714_20161213T102741_014360_017446_8894.zip,28,12
S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161201T102715_20161201T102742_014185_016EAA_8C0F.zip,S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161225T102714_20161225T102741_014535_0179AE_808A.zip,17,24
