Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20191116T102745_20191116T102813_029935_036A7E_F9A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191116T102745_20191116T102813_029935_036A7E_F9A7.zip,S1A_IW_SLC__1SDV_20191128T102745_20191128T102812_030110_037090_F457,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191128T102745_20191128T102812_030110_037090_F457.zip,97,12
S1A_IW_SLC__1SDV_20191116T102745_20191116T102813_029935_036A7E_F9A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191116T102745_20191116T102813_029935_036A7E_F9A7.zip,S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288.zip,131,24
S1A_IW_SLC__1SDV_20191116T102745_20191116T102813_029935_036A7E_F9A7,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191116T102745_20191116T102813_029935_036A7E_F9A7.zip,S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B.zip,104,36
S1A_IW_SLC__1SDV_20191128T102745_20191128T102812_030110_037090_F457,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191128T102745_20191128T102812_030110_037090_F457.zip,S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288.zip,34,12
S1A_IW_SLC__1SDV_20191128T102745_20191128T102812_030110_037090_F457,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191128T102745_20191128T102812_030110_037090_F457.zip,S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B.zip,7,24
S1A_IW_SLC__1SDV_20191128T102745_20191128T102812_030110_037090_F457,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191128T102745_20191128T102812_030110_037090_F457.zip,S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428.zip,28,36
S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288.zip,S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B.zip,27,12
S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288.zip,S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428.zip,62,24
S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191210T102744_20191210T102812_030285_037695_C288.zip,S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF.zip,79,36
S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B.zip,S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428.zip,35,12
S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B.zip,S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF.zip,52,24
S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20191222T102744_20191222T102812_030460_037C9E_F86B.zip,S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD.zip,47,36
S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428.zip,S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF.zip,17,12
S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428.zip,S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD.zip,12,24
S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200103T102743_20200103T102810_030635_0382A8_D428.zip,S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C.zip,25,36
S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF.zip,S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD.zip,5,12
S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200115T102743_20200115T102810_030810_0388C5_D0CF.zip,S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C.zip,42,24
S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD.zip,S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C.zip,37,12
S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200127T102742_20200127T102810_030985_038EEF_1CFD.zip,S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394.zip,11,36
S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C.zip,S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394.zip,48,24
S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200208T102742_20200208T102810_031160_03950D_9E4C.zip,S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5.zip,106,36
S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394.zip,S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5.zip,58,12
S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394.zip,S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917.zip,6,24
S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200303T102742_20200303T102810_031510_03A11D_2394.zip,S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF.zip,54,36
S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5.zip,S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917.zip,52,12
S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5.zip,S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF.zip,112,24
S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200315T102742_20200315T102810_031685_03A72D_4DC5.zip,S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E.zip,50,36
S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917.zip,S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF.zip,60,12
S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917.zip,S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E.zip,2,24
S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200327T102742_20200327T102810_031860_03AD56_E917.zip,S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0.zip,18,36
S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF.zip,S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E.zip,62,12
S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF.zip,S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0.zip,78,24
S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200408T102742_20200408T102810_032035_03B384_83DF.zip,S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175.zip,60,36
S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E.zip,S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0.zip,16,12
S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E.zip,S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175.zip,2,24
S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200420T102743_20200420T102811_032210_03B9A9_E63E.zip,S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E.zip,1,36
S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0.zip,S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175.zip,18,12
S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0.zip,S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E.zip,15,24
S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200502T102743_20200502T102811_032385_03BFD3_BBE0.zip,S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931.zip,111,36
S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175.zip,S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E.zip,3,12
S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175.zip,S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931.zip,93,24
S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200514T102744_20200514T102812_032560_03C567_0175.zip,S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870.zip,0,36
S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E.zip,S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931.zip,96,12
S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E.zip,S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870.zip,3,24
S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200526T102745_20200526T102813_032735_03CAB6_6A5E.zip,S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD.zip,84,36
S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931.zip,S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870.zip,93,12
S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931.zip,S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD.zip,12,24
S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200607T102745_20200607T102813_032910_03CFE3_C931.zip,S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA.zip,69,36
S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870.zip,S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD.zip,81,12
S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870.zip,S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA.zip,24,24
S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200619T102746_20200619T102814_033085_03D52B_3870.zip,S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39.zip,24,36
S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD.zip,S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA.zip,57,12
S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD.zip,S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39.zip,105,24
S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200701T102747_20200701T102814_033260_03DA7A_29BD.zip,S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08.zip,41,36
S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA.zip,S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39.zip,48,12
S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA.zip,S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08.zip,16,24
S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200713T102747_20200713T102815_033435_03DFCE_E2AA.zip,S1A_IW_SLC__1SDV_20200818T102750_20200818T102817_033960_03F0BB_E62D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200818T102750_20200818T102817_033960_03F0BB_E62D.zip,28,36
S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39.zip,S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08.zip,64,12
S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39.zip,S1A_IW_SLC__1SDV_20200818T102750_20200818T102817_033960_03F0BB_E62D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200818T102750_20200818T102817_033960_03F0BB_E62D.zip,76,24
S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200725T102748_20200725T102816_033610_03E52E_8C39.zip,S1A_IW_SLC__1SDV_20200830T102750_20200830T102818_034135_03F6E8_99FE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200830T102750_20200830T102818_034135_03F6E8_99FE.zip,13,36
S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08.zip,S1A_IW_SLC__1SDV_20200818T102750_20200818T102817_033960_03F0BB_E62D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200818T102750_20200818T102817_033960_03F0BB_E62D.zip,12,12
S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200806T102749_20200806T102817_033785_03EA96_8B08.zip,S1A_IW_SLC__1SDV_20200830T102750_20200830T102818_034135_03F6E8_99FE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200830T102750_20200830T102818_034135_03F6E8_99FE.zip,77,24
